Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8110945,HIV_0000000007,COUNTRY,LAO,YEAR,WPR,Western Pacific,,,2014,,,,,,,172,172.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8129911,HIV_0000000007,COUNTRY,SSD,YEAR,AFR,Africa,,,2014,,,,,,,143,143.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8133612,HIV_0000000007,COUNTRY,COK,YEAR,WPR,Western Pacific,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:37+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8149913,HIV_0000000007,COUNTRY,LTU,YEAR,EUR,Europe,,,2014,,,,,,,106,106.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8265583,HIV_0000000007,COUNTRY,BLR,YEAR,EUR,Europe,,,2014,,,,,,, 1 077,1077.0,,,,2016-03-21T10:38:45+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8343447,HIV_0000000007,COUNTRY,LSO,YEAR,AFR,Africa,,,2014,,,,,,,284,284.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8361340,HIV_0000000007,COUNTRY,DZA,YEAR,AFR,Africa,,,2014,,,,,,, 2 041,2041.0,,,,2016-03-21T10:38:47+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8433583,HIV_0000000007,COUNTRY,LCA,YEAR,AMR,Americas,,,2014,,,,,,,12,12.0,,,,2016-03-21T10:38:38+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8545838,HIV_0000000007,COUNTRY,MUS,YEAR,AFR,Africa,,,2014,,,,,,,148,148.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8553880,HIV_0000000007,COUNTRY,NAM,YEAR,AFR,Africa,,,2014,,,,,,,338,338.0,,,,2016-03-21T10:38:43+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8584906,HIV_0000000007,COUNTRY,COD,YEAR,AFR,Africa,,,2014,,,,,,, 2 062,2062.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8763965,HIV_0000000007,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,73,73.0,,,,2016-03-21T10:38:40+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8830652,HIV_0000000007,COUNTRY,SLV,YEAR,AMR,Americas,,,2014,,,,,,,822,822.0,,,,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8858282,HIV_0000000007,COUNTRY,CMR,YEAR,AFR,Africa,,,2014,,,,,,, 3 579,3579.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8915212,HIV_0000000007,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2014,,,,,,, 17 927,17927.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8941941,HIV_0000000007,COUNTRY,NRU,YEAR,WPR,Western Pacific,,,2014,,,,,,,15,15.0,,,,2016-03-21T10:38:38+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9036376,HIV_0000000007,COUNTRY,CUB,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9329925,HIV_0000000007,COUNTRY,UZB,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9418514,HIV_0000000007,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,2014,,,,,,, 1 345,1345.0,,,,2016-03-21T10:38:46+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9457475,HIV_0000000007,COUNTRY,HTI,YEAR,AMR,Americas,,,2014,,,,,,,193,193.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9510520,HIV_0000000007,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9612554,HIV_0000000007,COUNTRY,MKD,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9691754,HIV_0000000007,COUNTRY,PAN,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
