Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7389218,HIV_0000000008,COUNTRY,UGA,AFR,YEAR,Africa,,,2014,,,,,,,17,17.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7024765,HIV_0000000008,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,2014,,,,,,,27,27.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2492958,HIV_0000000008,COUNTRY,MEX,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4404926,HIV_0000000008,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2407389,HIV_0000000008,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4774955,HIV_0000000008,COUNTRY,KHM,WPR,YEAR,Western Pacific,,,2014,,,,,,,9,9.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1514490,HIV_0000000008,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1593818,HIV_0000000008,COUNTRY,BWA,AFR,YEAR,Africa,,,2014,,,,,,,49,49.0,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4054280,HIV_0000000008,COUNTRY,TJK,EUR,YEAR,Europe,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6742175,HIV_0000000008,COUNTRY,CAF,AFR,YEAR,Africa,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6999186,HIV_0000000008,COUNTRY,GUY,AMR,YEAR,Americas,,,2014,,,,,,,12,12.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9160156,HIV_0000000008,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1005118,HIV_0000000008,COUNTRY,UZB,EUR,YEAR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1673295,HIV_0000000008,COUNTRY,MWI,AFR,YEAR,Africa,,,2014,,,,,,,8,8.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5688863,HIV_0000000008,COUNTRY,KGZ,EUR,YEAR,Europe,,,2014,,,,,,,6,6.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
